"","x","prob","psd","var","cat"
"1",0,0,0,"x1","tru"
"2",0,0.12,0.0459565011723042,"x2","tru"
"3",0.102040816326531,0,0,"x1","tru"
"4",0.102040816326531,0.18,0.0543323108288245,"x2","tru"
"5",0.204081632653061,0,0,"x1","tru"
"6",0.204081632653061,0.22,0.0585832740635072,"x2","tru"
"7",0.306122448979592,0,0,"x1","tru"
"8",0.306122448979592,0.26,0.0620322496770833,"x2","tru"
"9",0.408163265306122,0,0,"x1","tru"
"10",0.408163265306122,0.28,0.0634980314655502,"x2","tru"
"11",0.510204081632653,0,0,"x1","tru"
"12",0.510204081632653,0.28,0.0634980314655502,"x2","tru"
"13",0.612244897959184,0,0,"x1","tru"
"14",0.612244897959184,0.26,0.0620322496770833,"x2","tru"
"15",0.714285714285714,0.2,0.0565685424949238,"x1","tru"
"16",0.714285714285714,0.26,0.0620322496770833,"x2","tru"
"17",0.816326530612245,0.3,0.0648074069840786,"x1","tru"
"18",0.816326530612245,0.26,0.0620322496770833,"x2","tru"
"19",0.918367346938776,0.36,0.0678822509939086,"x1","tru"
"20",0.918367346938776,0.24,0.060398675482166,"x2","tru"
"21",1.02040816326531,0.44,0.070199715099137,"x1","tru"
"22",1.02040816326531,0.26,0.0620322496770833,"x2","tru"
"23",1.12244897959184,0.48,0.0706540869306228,"x1","tru"
"24",1.12244897959184,0.24,0.060398675482166,"x2","tru"
"25",1.22448979591837,0.52,0.0706540869306228,"x1","tru"
"26",1.22448979591837,0.24,0.060398675482166,"x2","tru"
"27",1.3265306122449,0.54,0.0704840407468244,"x1","tru"
"28",1.3265306122449,0.24,0.060398675482166,"x2","tru"
"29",1.42857142857143,0.56,0.070199715099137,"x1","tru"
"30",1.42857142857143,0.22,0.0585832740635072,"x2","tru"
"31",1.53061224489796,0.58,0.0697997134664606,"x1","tru"
"32",1.53061224489796,0.22,0.0585832740635072,"x2","tru"
"33",1.63265306122449,0.6,0.0692820323027551,"x1","tru"
"34",1.63265306122449,0.22,0.0585832740635072,"x2","tru"
"35",1.73469387755102,0.6,0.0692820323027551,"x1","tru"
"36",1.73469387755102,0.24,0.060398675482166,"x2","tru"
"37",1.83673469387755,0.52,0.0706540869306228,"x1","tru"
"38",1.83673469387755,0.24,0.060398675482166,"x2","tru"
"39",1.93877551020408,0.38,0.0686440092069221,"x1","tru"
"40",1.93877551020408,0.24,0.060398675482166,"x2","tru"
"41",2.04081632653061,0.3,0.0648074069840786,"x1","tru"
"42",2.04081632653061,0.22,0.0585832740635072,"x2","tru"
"43",2.14285714285714,0.2,0.0565685424949238,"x1","tru"
"44",2.14285714285714,0.24,0.060398675482166,"x2","tru"
"45",2.24489795918367,0.1,0.0424264068711929,"x1","tru"
"46",2.24489795918367,0.26,0.0620322496770833,"x2","tru"
"47",2.3469387755102,0.06,0.0335857112474933,"x1","tru"
"48",2.3469387755102,0.24,0.060398675482166,"x2","tru"
"49",2.44897959183673,0,0,"x1","tru"
"50",2.44897959183673,0.24,0.060398675482166,"x2","tru"
"51",2.55102040816327,0,0,"x1","tru"
"52",2.55102040816327,0.26,0.0620322496770833,"x2","tru"
"53",2.6530612244898,0,0,"x1","tru"
"54",2.6530612244898,0.22,0.0585832740635072,"x2","tru"
"55",2.75510204081633,0,0,"x1","tru"
"56",2.75510204081633,0.18,0.0543323108288245,"x2","tru"
"57",2.85714285714286,0,0,"x1","tru"
"58",2.85714285714286,0.12,0.0459565011723042,"x2","tru"
"59",2.95918367346939,0,0,"x1","tru"
"60",2.95918367346939,0.04,0.027712812921102,"x2","tru"
"61",3.06122448979592,0,0,"x1","tru"
"62",3.06122448979592,0,0,"x2","tru"
"63",3.16326530612245,0,0,"x1","tru"
"64",3.16326530612245,0,0,"x2","tru"
"65",3.26530612244898,0,0,"x1","tru"
"66",3.26530612244898,0,0,"x2","tru"
"67",3.36734693877551,0,0,"x1","tru"
"68",3.36734693877551,0,0,"x2","tru"
"69",3.46938775510204,0,0,"x1","tru"
